food_name,meal,campus,date,calories,protein,fat,saturated_fat,carbs,fiber,sugar,sodium,cholesterol
Andouille Sausage,Lunch,up-west-waring,2025-09-07,101.0,10.1,5.1,1.5,2.0,0.0,0,334.1,30.4
Campfire Salmon,Lunch,up-west-waring,2025-09-07,190.0,20.1,11.2,2.2,0.8,0.1,0.7,356.6,57.2
Monte Cristo Sandwich,Lunch,up-west-waring,2025-09-07,400.0,17.5,26.0,7.1,23.0,1.0,12.8,684.4,167.3
Mushrooms & Swiss Scrambled Eggs,Lunch,up-west-waring,2025-09-07,139.0,11.2,9.4,3.7,0.9,0.2,0.4,200.2,241.8
S'mores Baked French Toast,Lunch,up-west-waring,2025-09-07,506.0,13.5,15.8,7.0,80.4,2.0,43.8,414.7,128.9
Scrambled Egg Whites,Lunch,up-west-waring,2025-09-07,43.0,8.9,0.0,0.0,0.9,0.0,0.0,139.5,0.0
Scrambled Eggs,Lunch,up-west-waring,2025-09-07,130.0,11.2,8.4,2.8,0.0,0.0,0.0,120.9,316.3
Shredded Hash Browns,Lunch,up-west-waring,2025-09-07,93.0,1.1,2.5,0.2,16.3,2.2,1.1,281.0,0.0
Steamed Green Beans,Lunch,up-west-waring,2025-09-07,20.0,1.1,0.1,0.0,4.7,2.2,1.4,15.2,0.0
Belgian Waffle,Lunch,up-west-waring,2025-09-07,376.0,7.0,4.2,1.4,73.8,1.4,7.0,1243.3,13.9
Cream Cheese,Lunch,up-west-waring,2025-09-07,99.0,1.7,9.8,5.7,1.6,0.0,1.1,89.0,28.6
Gluten Free Overnight Oats,Lunch,up-west-waring,2025-09-07,254.0,6.4,7.6,1.0,39.1,6.0,6.9,60.1,0.0
Mini Everything Bagels,Lunch,up-west-waring,2025-09-07,150.0,5.0,0.0,0.0,30.0,1.0,3.0,340.0,0.0
Mini Plain Bagels,Lunch,up-west-waring,2025-09-07,150.0,5.0,0.5,0.0,32.0,0,4.0,230.0,0.0
Mock Bloody Mary,Lunch,up-west-waring,2025-09-07,53.0,2.5,0.8,0.1,12.0,2.0,7.5,3069.6,0.0
Shrimp Ceviche,Lunch,up-west-waring,2025-09-07,16.0,1.8,0.6,0.1,1.0,0.2,0.5,124.5,14.6
Strawberry Cream Cheese,Lunch,up-west-waring,2025-09-07,91.0,1.0,8.1,5.1,4.1,0.0,4.1,91.1,20.3
Strawberry Topping,Lunch,up-west-waring,2025-09-07,59.0,0.0,0.0,0.0,14.9,0.8,12.7,0.7,0.0
Warm Tortilla Chips,Lunch,up-west-waring,2025-09-07,139.0,2.0,6.9,1.0,18.8,1.0,0.0,118.7,0.0
Whipped Topping,Lunch,up-west-waring,2025-09-07,35.0,0.0,2.4,1.2,2.4,0.0,2.4,0.0,0.0
Iced Monkey Bread,Lunch,up-west-waring,2025-09-07,279.0,4.5,9.6,4.2,43.7,1.0,20.8,394.1,13.6
Italian Chocolate Hazelnut Cookies,Lunch,up-west-waring,2025-09-07,310.0,4.0,20.0,6.0,30.0,1.0,17.0,120.0,10.0
Lemon Bars,Lunch,up-west-waring,2025-09-07,130.0,1.0,8.0,5.0,13.0,0.0,9.0,20.0,35.0
Vanilla Cream Puffs,Lunch,up-west-waring,2025-09-07,50.0,1.0,3.0,3.0,4.0,0.0,2.0,20.0,15.0
Fried State Chik'n Sandwich,Lunch,up-west-waring,2025-09-07,1988.0,33.9,160.3,23.2,119.0,6.4,25.6,2607.8,130.8
Harvest Apple Salad,Lunch,up-west-waring,2025-09-07,268.0,10.1,10.8,7.1,36.7,4.8,29.4,128.5,29.8
Incogmeato Chik'n Tender Combo,Lunch,up-west-waring,2025-09-07,940.0,44.9,47.4,11.8,89.4,9.9,7.7,2508.7,12.2
Large Chicken Tender Combo,Lunch,up-west-waring,2025-09-07,1339.0,64.6,68.5,16.2,118.9,5.6,12.4,2750.9,246.5
Peach Cobbler,Lunch,up-west-waring,2025-09-07,405.0,4.0,4.0,1.3,95.0,3.0,68.0,290.0,8.0
Small Chicken Tender Combo,Lunch,up-west-waring,2025-09-07,931.0,35.3,51.2,13.3,86.2,4.8,10.1,2018.0,129.3
State Chik'n BBQ Ranch Macaroni & Cheese Bowl,Lunch,up-west-waring,2025-09-07,372.0,14.3,22.3,10.3,32.7,2.0,8.0,753.6,49.8
State Chik'n Bruschetta Macaroni & Cheese Bowl,Lunch,up-west-waring,2025-09-07,377.0,11.8,16.4,7.5,45.8,4.0,3.0,579.2,28.6
State Chik'n Caesar Salad,Lunch,up-west-waring,2025-09-07,210.0,9.8,9.4,4.0,22.2,3.8,2.7,557.8,12.2
State Chik'n Cobb Salad,Lunch,up-west-waring,2025-09-07,142.0,8.4,9.8,4.2,5.3,2.8,2.0,311.4,96.9
State Chik'n Macaroni & Cheese Bowl,Lunch,up-west-waring,2025-09-07,259.0,12.3,12.7,7.2,25.6,2.0,2.1,459.2,43.3
